from,to,weight,type
ESA,KNB,94,download
KNB,PISCO,69,download
KNB,TFRI,68,download
GOA,KNB,65,download
KNB,LTER,54,download
KNB,mnUCSB1,36,download
DRYAD,KNB,35,download
KNB,PPBIO,35,download
KNB,TERN,34,download
LTER,mnUCSB1,28,download
DRYAD,LTER,19,download
LTER,NCEI,18,download
GLEON,KNB,15,download
KNB,NCEI,11,download
mnUCSB1,PISCO,10,download
ESA,SEAD,9,download
ESA,GOA,7,download
GOA,TFRI,7,download
DRYAD,NCEI,6,download
GLEON,mnUCSB1,6,download
LTER,mnORC1,6,download
ESA,PISCO,5,download
ESA,ONEShare,4,download
GLEON,LTER,4,download
GOA,SEAD,4,download
KNB,mnUNM1,4,download
mnUCSB1,TFRI,4,download
PISCO,TFRI,4,download
BCODMO,EDACGSTORE,3,download
ESA,mnORC1,3,download
GLEON,TFRI,3,download
GOA,NCEI,3,download
IOE,KNB,3,download
IOE,PISCO,3,download
KNB,SEAD,3,download
KNB,mnORC1,3,download
mnUCSB1,SEAD,3,download
ONEShare,TFRI,3,download
DRYAD,SEAD,2,download
DRYAD,PISCO,2,download
EDACGSTORE,mnUCSB1,2,download
EDACGSTORE,PISCO,2,download
ESA,TFRI,2,download
ESA,mnUNM1,2,download
GLEON,PISCO,2,download
GOA,PISCO,2,download
IARC,KNB,2,download
mnORC1,SEAD,2,download
mnUCSB1,NCEI,2,download
mnUNM1,TFRI,2,download
mnUNM1,SEAD,2,download
NCEI,PISCO,2,download
BCODMO,US_MPC,1,download
BCODMO,DRYAD,1,download
BCODMO,TFRI,1,download
BCODMO,KNB,1,download
DRYAD,EDORA,1,download
DRYAD,GOA,1,download
DRYAD,PPBIO,1,download
DRYAD,IOE,1,download
DRYAD,EDI,1,download
DRYAD,R2R,1,download
DRYAD,ONEShare,1,download
EDACGSTORE,GLEON,1,download
EDACGSTORE,TFRI,1,download
EDI,TERN,1,download
ESA,NCEI,1,download
ESA,PPBIO,1,download
ESA,mnUCSB1,1,download
ESA,LTER,1,download
ESA,GLEON,1,download
GLEON,NCEI,1,download
GLEON,PPBIO,1,download
GLEON,mnUNM1,1,download
GOA,LTER,1,download
GOA,IOE,1,download
GOA,ONEShare,1,download
GOA,mnUCSB1,1,download
GRIIDC,UIC,1,download
IARC,NCEI,1,download
IARC,US_MPC,1,download
KNB,ONEShare,1,download
KNB,NKN,1,download
KNB,NMEPSCOR,1,download
KNB,US_MPC,1,download
LTER,TERN,1,download
LTER,US_MPC,1,download
LTER,TDAR,1,download
LTER,SEAD,1,download
mnORC1,PISCO,1,download
mnORC1,mnUNM1,1,download
mnUCSB1,US_MPC,1,download
mnUNM1,PISCO,1,download
NCEI,RGD,1,download
NCEI,TERN,1,download
NCEI,PPBIO,1,download
NCEI,SEAD,1,download
NCEI,TDAR,1,download
ONEShare,US_MPC,1,download
ONEShare,PISCO,1,download
SEAD,TFRI,1,download
SEAD,TDAR,1,download
